#slug	Title	Description	Group
|is-table-with-template
||no-content-box: yes
||use-a-bootstrap-row: yes
||use-a-custom-head: yes
||head-template: ALLARTICLES-HAUTO
||bs-use-enricher: yes
||bs-template: ARTICLE-HAUTO-BOX<h3>%Title%</h3><img class="img-fluid" title="%slug%" src="%cdn%%nodeSlug%/%slug%.jpg" /> JUSTBR%Description% <hr /><div class="text-end fs-italic">%Group%</div>ARTICLE-CLOSE
authors-lee	Author Feedback		Opus
authors-umsy	Imran's Mother		People
book-adult-children	Adult Children		Concepts
books-hurin-jrrt	My Hero Hurin		Characters
curate-remy	Rat patootie!		Characters
devotional-viswarapua	Lord Krishna		Godliness
families-inara	Imran's Niece		People
families-shayesteh	Family Tree		Features
help-triad	Need to Help		Concepts
mystic-crown	Crown Chakra		Old Indic Wisdom
networks-consortium	Consortium		Concepts
networks-dawn	Intention is Key		Concepts
networks-kalki	AuroSpaces.org		Concepts
networks-tgp	Goodness in All		Programs
orgs-acc	Aeon Centre		Old Indic Wisdom
orgs-mane	MA Namazi		People
people-imran-italy	Imran 2010		Providers
people-imran-visa	Imran 2013		People
people-imran-griefstruck	Imran 2019		Writing
people-imran	Imran 2025		People
programs-2-hearts	Heartfulness		Writing
programs-att	Aspire to Thrive		Programs
programs-happy	Happiness		Programs
programs-owl	WiseOwls.life		Programs
programs-spartacus	Spartacus the Kuru		Programs
programs-why-we-didnt-fail	Spartacus Wins		Programs
programs-wordplay	Emote Express		Programs
shops-av-art-gallery	AV Art Gallery		Old Indic Wisdom
work-ganymede	Ganymede		Concepts
work-ganymede-gani	Gani & Sons		Providers
work-iviewer	IViewer 2000		Providers
work-iviewer-2026	IViewer 2026		Providers
work-old-logo	AW 2021/22		Providers
work-sunlit-path	Sunlit Path		Concepts
work-tech-soul	AW Spring		Providers
